episode, time, score
1, 193, 271.674759
2, 242, 291.016877
3, 180, 268.383208
4, 211, 294.292145
5, 284, 298.212375
6, 214, 287.786736
7, 172, 265.462117
8, 199, 258.607169
9, 184, 248.249065
10, 183, 263.779762
11, 194, 272.729503
12, 221, 288.710329
13, 219, 261.692668
14, 188, 261.829543
15, 201, 265.549359
16, 231, 286.555273
17, 195, 262.517579
18, 218, 296.912904
19, 251, 273.535441
20, 185, 256.112846
21, 191, 267.537173
22, 216, 289.926514
23, 219, 301.196284
24, 218, 293.761647
25, 181, 291.455216
26, 186, 300.829696
27, 211, 284.066740
28, 195, 294.337651
29, 233, 297.780201
30, 191, 285.809073
31, 233, 294.934901
32, 205, 251.676052
33, 185, 285.262869
34, 193, 260.257828
35, 223, 308.192987
36, 271, 291.635664
37, 207, 279.332957
38, 193, 260.536842
39, 196, 294.015393
40, 170, 251.088722
41, 175, 296.203267
42, 189, 272.490371
43, 209, 277.241542
44, 193, 282.433197
45, 202, 257.230629
46, 242, 309.163602
47, 204, 277.773097
48, 216, 287.482682
49, 204, 308.225739
50, 211, 312.804967
51, 247, 293.173601
52, 196, 256.502936
53, 279, 277.500624
54, 199, 256.367281
55, 236, 234.179268
56, 185, 295.504651
57, 194, 297.337584
58, 247, 298.278426
59, 223, 296.820804
60, 256, 290.430036
61, 215, 254.960505
62, 190, 256.600132
63, 185, 276.792886
64, 235, 286.336061
65, 208, 269.160616
66, 193, 278.754937
67, 199, 283.270484
68, 188, 241.019957
69, 187, 275.475049
70, 164, 288.203367
71, 193, 292.701184
72, 292, 289.936590
73, 152, 69.105651
74, 191, 259.980221
75, 187, 256.518394
76, 233, 279.912423
77, 237, 293.056148
78, 221, 300.390614
79, 207, 270.657859
80, 199, 287.552835
81, 1000, 192.275107
82, 193, 292.098951
83, 208, 231.540385
84, 170, 281.604238
85, 208, 310.665710
86, 189, 307.017599
87, 205, 297.865767
88, 187, 234.344711
89, 212, 273.193024
90, 239, 286.311208
91, 189, 291.364609
92, 189, 251.717508
93, 206, 281.251980
94, 260, 303.480030
95, 184, 268.834282
96, 151, 65.985203
97, 263, 275.313172
98, 209, 277.540339
99, 203, 284.276641
100, 198, 283.289412
